Name,ID,Event Start Date,Event End Date,Registration End date,Registration status,Event Url,Event Description,Team Size,Name of the Website,Idea Phase Start Date,Idea Phase End Date
India's Largest PUPA Hackathon for Social Media Live Project & Internship,254896,2022-02-11,2022-02-26,,Open,https://dare2compete.com/hackathon/indias-largest-pupa-non-tech-hackathon-mentorsity-pvt-ltd-254896,"""You Can Master In Digital Marketing"" get a chance to work on a real-time
project with ""Glam Studios"". Win prize worth Rs. 8,000/- and assured
internship of INR 12k per month. Prepare a social media & digital marketing
strategy for India's first affordable salon brand, introducing -

  * P - Profession
  * U - Upgrade
  * P - Proficiency to
  * A - Achieve

**What is PuPa:  **In this program, you will be developing social media
campaigns complementing the company's business sector, making reports on
emerging social media trends, and tracking any company's end-to-end social
media process.

**Benefits of PuPa:**

  * Internship of minimum stipend INR 7k to 12k per month
  * Pre-Placement offer after the internship completion (up to 8 LPA)
  * Certificates of Internship
  * Letter of Recommendation
  * Real-time virtual industry experience
  * Certificate of participation for all participants
  * Industry recognized co-branded live project certificate
  * One live session with the founder of the company
  * 8+ hours of live sessions with industry experts from Google, Microsoft & Oracle etc.

**Rewards:**

  * Win cash prize of INR 2500/-
  * Subscription of (Amazon Prime, Kindle, Netflix, Times Prime, Swiggy)
  * A gift voucher from Amazon
  * Access to 2000+ discord student community
  * Get access to 100+ premium mentors from companies like Google, Microsoft, Amazon, etc.
  * Unlimited direct referrals of internship to other companies (paid internship would be provided)

**Co-sponsors:**

  * Netflix
  * Amazon Prime
  * Kindle
  * Swiggy
  * Times Prime 

**Registration Fee:** INR 699/- only (valid only for the first 100
registrations)

Be a smart worker rather than a hard worker!

",1,D2C,,
Code Heist (Division 2),254422,2022-01-22,2022-02-26,,Open,https://dare2compete.com/hackathon/code-heist-division-2-bennett-university-bu-greater-noida-254422,"Google Developer Student Club - Bennett University presents to you Code Heist,
a 6-week coding contest for coders of all proficiencies, from beginners to
well versed. Before diving into the jargon of every programming language
available, one must first establish a sharp sense of how to approach problems.
Code Heist provides you a chance to put your logical and analytical skills to
the test, which are crucial for becoming a strong coder.

For the 2nd, 3rd and 4th-year Students Click
[here](https://bit.ly/CodeHeistDiv1).

**Division 2:**  For 1st-year and School Students providing a beginner-
friendly platform to encourage and enhance their budding passion for coding.

**Eligibility Criteria:** As mentioned earlier, the contest is divided into 2
separate divisions, Division 1st for the 2nd & 3rd year and Division 2nd for
the 1st year students. There exist no such specific eligibility criteria.
Students of all coding proficiencies are welcomed to participate and testify
their skills.

**General Rules and Guidelines:**

  * The contest will be conducted on Dare2Compete every Saturday from 22nd January 2022 till 26th February 2022.
  * Participants must ensure that their internet connection is stable.
  * All the submissions will run through a plagiarism detector before deciding the winners. In case the code is found to be more than 9-10% plagiarism both the participants would be disqualified.
  * The participants are advised to refrain from any sort of discussion during the ongoing contest.
  * The participants would be required to solve a total of 3 questions, within 1 hour.

**Scoring:**

  * Each challenge has a pre-determined score.
  * A participant's score depends on the number of test cases a participant's code submission successfully passes.
  * If a participant submits more than one solution per challenge, then the participant's score will reflect the highest score achieved. In a game challenge, the participant's score will reflect the last code submission.
  * Participants are ranked by score. If two or more participants achieve the same score, then the tie is broken by the total time taken to submit the last solution resulting in a higher score.

**Prizes & Rewards:**

  * Winners will be rewarded with a Web-hosting service, goodies, and vouchers worth INR 50k.
  * The participant with the highest cumulative score of 6 weeks would be announced as the season winner. The season winner would get a chance to grab amazing internship opportunities with exclusive vouchers.
  * All the individual contestants will be provided with participation certificates & vouchers.

",1,D2C,,
Code Heist (Division 1),254402,2022-01-22,2022-02-26,,Open,https://dare2compete.com/hackathon/code-heist-division-1-bennett-university-bu-greater-noida-254402,"**Google Developer Student Club - Bennett University**  presents to you Code
Heist, a 6-week coding contest for coders of all proficiencies, from beginners
to well versed. Before diving into the jargon of every programming language
available, one must first establish a sharp sense of how to approach problems.
**Code Heist**  provides you a chance to put your logical and analytical
skills to the test, which are crucial for becoming a strong coder.

**Division 1:** For the 2nd, 3rd & 4th-year students to put their best
problem-solving skills forward and leverage their potential.

For 1st year and school students click [here](https://bit.ly/CodeHeistDiv2).

**Eligibility Criteria:** As mentioned earlier, the contest is divided into
**2 separate divisions** , **Division 1st for the 2nd, 3rd and 4th year** and
**Division 2nd for the 1st year students and School Student**. There exist no
such specific eligibility criteria. Students of all coding proficiencies are
welcomed to participate and testify their skills.

**General Rules and Guidelines:**

  * The contest will be conducted on Dare2Compete every Saturday from 22nd January 2022 till 26th February 2022.
  * Participants must ensure that their internet connection is stable.
  * All the submissions will run through a plagiarism detector before deciding the winners. In case the code is found to be more than 9-10% plagiarism both the participants would be disqualified.
  * The participants are advised to refrain from any sort of discussion during the ongoing contest.
  * The participants would be required to solve a total of 2 questions, within 1 hour.

**Scoring:**

  * Each challenge has a pre-determined score.
  * A participant's score depends on the number of test cases a participant's code submission successfully passes.
  * If a participant submits more than one solution per challenge, then the participant's score will reflect the highest score achieved. In a game challenge, the participant's score will reflect the last code submission.
  * Participants are ranked by score. If two or more participants achieve the same score, then the tie is broken by the total time taken to submit the last solution resulting in a higher score.

**Prizes & Rewards:**

  * Winners will be rewarded with a Web-hosting service, goodies, and vouchers worth INR 50,000.
  * The participant with the highest cumulative score of 6 weeks would be announced as the season winner.
  * The season winner would get a chance to grab amazing internship opportunities with exclusive vouchers.
  * All the individual contestants will be provided with participation certificates & vouchers.

",1,D2C,,
CRAZE-A-THON: Ather Hiring Challenge,254209,2022-01-12,2022-02-12,,Open,https://dare2compete.com/hackathon/craze-a-thon-ather-energy-254209,"Bring Yourself to **CRAZE-A-THON: Ather Hiring Challenge**!

We are Ather Energy, building fast and intelligent electric scooters in India.
Ather was founded in 2013 by IIT Madras alumni, Tarun Mehta and Swapnil Jain.
Supported and propelled by the founders of Flipkart, Tiger Global, and Hero
MotoCorp, Ather has launched India's first truly intelligent electric
scooters, the Ather 450 product line, powered by a comprehensive public
charging network, the Ather Grid. We have arrived and set up Ather Space in 29
cities, and are constantly expanding our footprint across the country.

We've reinvented under-the-hood intelligence. Join us for our next moonshot.

**Eligibility Criteria:**

  * 2022 Graduates with B.Tech/ BE or Integrated Dual Degree in any discipline of engineering
  * 2021 Graduates with B.Tech/ BE or Integrated Dual Degree in CSE, IT, circuit branches (EEE, ECE, etc.) only
  * Minimum 75% in B.Tech or Integrated Dual Degree

**Rules:**

  * **CRAZE-A-THON: Ather Hiring Challenge**  is open to engineering students pursuing their final year in B.Tech or Integrated Dual Degree (graduating year - 2022) across branches and 2021 pass outs with B.Tech/BE or Integrated Dual Degree in CSE, IT, circuit branches (EEE, ECE, etc.) only.
  * The participating candidate should have a minimum of 75% in B.Tech/BE or Integrated Dual Degree.
  * There is no restriction on the number of participants from an institute.
  * Modification of details post-registration closure will not be allowed.
  * Plagiarism is strictly prohibited during the online coding challenge. Any cases of plagiarism will result in immediate disqualification of the concerned candidates.
  * Any deviation from the above will result in immediate disqualification of the individual.

**Stages** :

**MCQ Round:**

  * Eligible participants, after registering for the challenge, will undergo an online MCQ round. This will include sections of logical reasoning, aptitude, and coding. 
  * Based on their test scores, participants will be shortlisted to proceed to the next stage.
  * The test duration will be 60 minutes.
  * You'll be notified via email regarding the details of the MCQ challenge.
  * You can take the test within 4 hours of opening the quiz window. 

**Coding Assessment:**

  * Shortlisted participants will undergo an online coding challenge where they will be tested on their basic coding skills.
  * Based on their test scores, participants will be shortlisted to proceed to the next stage.
  * You'll be notified via email regarding the details of the coding challenge.
  * Evaluation criteria would include but are not limited to, the test score, time is taken to complete the test, the quality of your code, etc.

**Application Based Problem Statements:**

Shortlisted participants from the coding round will be given 3 problem
statements. They can pick up anyone problem out of their interest and follow
the instructions to write the code. The submissions should be genuine, any
plagiarism of codes will be noticed, and those entries will not be
entertained.

**Rules for Submission:**

  * Participants have to pick any one problem statement and submit its solution to us
  * Any assumptions made in the problem should be shared with us in the file
  * Naming convention- FULL NAME_NAME OF PROBLEM STATEMENT ATTEMPTED 

**Interviews:**

The shortlisted students from the final round will get the opportunity to
showcase their technical skills, teamwork abilities, and their passions. In
their interviews, they will get to have in-depth conversations on their
projects and fundamentals, with panelists from our functional and people
operations teams. This will also be a great chance for the students to ask
questions and gain clarity about all things Ather.

**Rewards:** A full-time opportunity to do deep work and be a part of the
Software & Intelligence Team at Ather Energy with a package of INR 6-12 LPA.
[CLICK
HERE](https://d8it4huxumps7.cloudfront.net/files/61e180c0ee40b_ather_craze_a_thon_jd_for_software_developer_1.pdf)
to view the detailed job description.

",1,D2C,,
Tri-NIT Hackathon,254063,2022-01-29,2022-01-30,,Open,https://dare2compete.com/hackathon/tri-nit-hackathon-national-institute-of-technology-karnataka-nitk-surathkal-254063,"Three of the most prestigious engineering colleges in the country present to
you a coding competition like no other for the ultimate battle of wits. ACM
NITK, Spider - NIT Trichy, and CSEA - NIT Warangal proudly present the Tri-
NITarian Coding Cup. The perfect collaboration bringing you a golden
opportunity to test your skills against the best of the best for cash prizes,
goodies, and more!

This hackathon gives you the platform to showcase your innovation capabilities
- to find new, creative solutions to existing problems. We have a great
experience lined up for you budding developers - apart from the amazing
prizes, that is.

The hackathon will be held on **Dare2Compete** and is a one-day-long
hackathon. There are 4 exciting tracks to choose from and innovate new
solutions to real life problems.

",3,D2C,,
Designathon,253426,2022-01-29,2022-01-29,,Open,https://dare2compete.com/hackathon/designathon-e-summit-22-national-institute-of-technology-karnataka-nitk-surathkal-253426,"A no-code hackathon focused on website design!

Designathon is a part of E-Summit'22.

**About E-Summit NITK:**

E-Summit is the flagship event of the Entrepreneur Club at NITK, Surathkal.
Envisioned to create an entrepreneurial spirit amongst the next generation of
graduates, it is a multi-faceted event that encompasses entrepreneurship
talks, business workshops, panel discussions and a pitching event.

We invite changemakers from various spheres of work including journalism,
entertainment, social entrepreneurship, politics as well as established
businesses to serve as mentors for these events.

E-Summit'22 will be held on **20th-23rd January 2022.**

**Format:**

  * Participants will be divided into groups of 4
  * Groups can be made of their own choice or will be allotted by us whenever required
  * Participants will be provided with a problem statement regarding a product/service
  * The problem statement may be an issue related to existing business or ideation of a new business altogether
  * Platforms like Squarespace, Wix, WordPress, etc. for designing
  * **Note:** This is not a coding competition
  * Teams will be judged on the basis of creativity, novelty, features used, ease of implementation, visual outlook and its contribution to solving the given problem statement
  * Teams will have a short 4-5 minutes presentation at the end to explain the various features of the website
  * Winners will be then decided based on the above criteria

",4,D2C,,
Hash Code,253220,2022-01-07,2022-04-30,,Open,https://dare2compete.com/hackathon/hash-code-google-253220,"**Google '**s team-based programming competition, **Hash Code** , allows you
to share your skills and connect with other coders as you work together to
solve a problem modeled off a real Google engineering challenge! In small
teams of two to four, coders all over the world will tackle the first problem
through the Qualification Round. Though this round is hosted online, teams can
come together virtually to compete side-by-side in locally coordinated Hash
Code Hubs. The top teams from this round are invited to join us for the
virtual World Finals.

**Rules & Guidelines:**

  * In order for a Team to participate in the World Finals, at least two (2) team members must meet the minimum age requirement (at least eighteen (18) years old or the age of majority in their country of residence).
  * You may use any editor or development environment, including those made available online, as long as your code is not accessible to others.
  * You may use the programming language of your choice.
  * Participants may use any documentation they would like, in paper form or on the internet, as well as any publicly available libraries and tools (whether free or paid-for).
  * Participants may also use any computer they have access to in order to run their code.
  * Participants must not solicit or receive help from anyone outside their team, and will be disqualified from the HC contest if they do so.
  * Participants may ask the jury (as defined below) to clarify certain points from the problem statement by sending an email to hashcode@google.com.
  * Participants must develop original code to generate their solution. To be valid, every code submission must include a file (typically, a ZIP archive) containing the source code of the program developed by the team to generate the solution.
  * Teams will submit their solutions for each round through the competition platform.
  * Teams may submit more than one submission so long as they do not interfere with the proper functioning of the competition platform (by using, for example, automated posting of large volume submissions).
  * All communication from the Hash Code team and each round's problem statement will be in English.

**Judgment Criteria:**

  * The jury evaluates each submission by means of the automated scoring function of the competition platform and/or manual inspection.
  * A team's final score for a round is the score of the team's best submission from that round.
  * The quality of the code will not be considered in scoring, but the jury may review the code to verify that the solution is original.
  * The jury may determine the originality of code based on a review of the code alone and/or comparison against other code submissions.

**Details of the Rounds:**

  * **Practice Round -**
    * Timing: January 7, 2022, 22:10 IST to February 24, 2022, 15:30 IST
    * Duration: 1,145 hrs 20 mins
  * **Online Qualifications** \- 
    * Timing: February 24, 2022, 23:00 IST to February 24, 2022, 03:00 IST
    * Duration: 4 hrs
    * For the Qualification Round, your team can participate from anywhere using your own computer and internet connection.
    * To make this round even more exciting, you can participate with a virtual Hub.
    * Hubs are participant-organized groups of Hash Code teams that are affiliated with a university, office, or organization.
    * They are designed to allow you to connect with your local developer communities, while still competing in your team of 2-4 people.
    * Joining a Hub is optional, but they are a great way to connect with your peers and grow your coding skills.
  * **World Finals** \- 
    * April 30, 2022, 11:30 IST to April 30, 2022, 15:30 IST
    * Duration: 4 hrs
    * During the World Finals, your team will be asked to solve a challenge using your own computer equipment and materials.
    * The jury will select between thirty (30) and fifty (50) of the highest-scoring teams, constituting no more than one hundred fifty (150) finalists, to advance to the World Finals.
    * Teams will be notified about the structure of the World Finals at least 30 days before the competition.

**Rewards:**

  * 1st Place - USD 4,000 (To every team member)
  * 2nd Place - USD 2,000 (To every team member)
  * 3rd Place - USD 1,000 (To every team member)
  * Google may occasionally, and at its sole discretion, give away Google-branded objects, Google-related products, or other goodies (""Goodies​"") to World Finals participants as part of their participation in the Hash Code contest.
  * Members of teams that submit a solution scoring at least one (1) point during either the Qualification Round or World Finals are eligible to receive a downloadable and printable certificate, which will be accessible from their Contest Profile approximately a month after each round's completion.

",4,D2C,,
Launchology Vision,252331,2022-01-29,2022-01-31,,Open,https://dare2compete.com/hackathon/launchology-vision-launchology-252331,"Launchology Vision is a free-to-compete, online hackathon dedicated to
addressing the most prevalent issues in the 21st century. Compete with
contestants ranging from tech-enthusiasts to entrepreneurs, network with
future global leaders, and build the solutions of the future while earning
more than **INR 27,008,780**  in prizes!

Anyone who wants to participate is eligible, and participants will be required
to be in teams of 1-6 members. The hackathon will be centered around a problem
statement released on 29th January 2022, judged by many professionals in the
field of technology.

Registration will be done through **Dare2Compete** , and our hackathon will be
hosted on [Slack over here with submission on a Google Form
later.](https://join.slack.com/t/launchologyvision/shared_invite/zt-z8xzx1ys-W4iEUR1v7mOXFXwDsbKDyw)

",6,D2C,,
Irada - Innovathon 2022,252413,2022-01-05,2022-02-05,,Open,https://dare2compete.com/hackathon/irada-innovathon-2022-irada-2022-l-d-college-of-engineering-ldce-ahmedabad-252413,"**Innovator Club:**

  * **Innovator Club** of **L.D. College of Engineering, Ahmedabad** is pioneered with a vision to inculcate practical skills and a feeling of innovation among the students.
  * Since its establishment, the club has been very active and has carried out various activities to create enthusiasm among students to explore different avenues in the realm of technology.

**Hackathon:**

  * Hackathon is a term which an Engineer can't remove from his life. It is an important aspect to help us grow and gain some real-life experience.
  * As Einstein had said, "" **The only source of knowledge experiences "".**
  * We, the Innovator Club are again is back with a hackathon, this time even bigger than before.

**Innovathon:**

  * The Innovator Club of LDCE had organized a 2 days state-level hackathon known as "" **Innovation** "" in 2019.
  * It was one of the massive events ever held. It was 36 hours long coding contest.
  * The hackathon was organized to make a change in society by helping to solve real-life problem statements.
  * Link to our website: [IRADA 2022 (iradafestldce.com)](https://www.iradafestldce.com/)  
  * This hackathon is an open innovation contest where participating teams will have to build a project on the domains mentioned on our website.
  * The whole hackathon is divided into 2 rounds.

**Round 1:**

  * On the 29th of January, the participants will have an introductory session with the judges and organizing committee.
  * They will explain all the Rules and Regulations and will explain the whole flow of the hackathon.
  * Round 1 will begin on 30th January at 10:00 a.m. 
  * They will have 2 days to submit the abstract of their work and project idea.
  * The last date for submission of the abstract is 31st January at 6:00 p.m.
  * Round 1 will be an elimination round and only selected teams will move on to round 2.
  * Evaluation will be done by the judges on the basis of the abstract submitted by the teams.

**Round 2:**

  * The results of round 1 will be declared on 1st February
  * Round 2 will start on 3rd February
  * It will be a 36 hour non-stop creation event for all
  * The teams selected for round 2 will keep on working on their project
  * The teams have to complete their project before the end of day 2 i.e. 4th February 10:00 p.m
  * After the completion of day 2, the teams will have one on one interaction with the judges where they will talk about their project
  * The completion of the project, how innovative the idea is and its sustainability will be the major parts of the evaluation
  * The results and winners announcement will be done on 5th February

**Note:** All the rules and timings are subjective. The organizing committee
holds all the right to change the rules according to the situation.

**For any Queries:**

  * Ashirvad Dwivedi: +91 9727613742
  * Jahnavi Jogi: +91 9998547623

",5,D2C,,
S.P.I.T Hackathon,250860,2021-12-25,2022-01-30,,Open,https://dare2compete.com/hackathon/spit-hackathon-oculus-spit-sardar-patel-institute-of-technology-spit-mumbai-250860,"Following tradition, CSI-SPIT is back with the annual ""S.P.I.T Hackathon
2022"". It will be held in accordance with the official techno-cultural fest of
S.P.I.T - Oculus 2022.

We invite all innovators and techno geeks to come and get their creativity
going. With a great team and skilled panel of judges, this hackathon is an
ideal platform to put your knowledge to use and network with peers.  
  
 **Team Size:** 2-4 Members  
  
 **Domains:** Web/ App Development, ML/AI and Blockchain, AR/VR.

**Rules:**

  * Round 1 is open to all students out of which 40 teams will be shortlisted
  * Round 2 is the main 24-hour hackathon with a team size of 2-4 participants                                                     

**Eligibility Criteria:** Any college student can apply.

**Round 1 Details:**

  * Round 1 is free for all the participants and **** is already live
  * Participants are expected to give an abstract to the problem statement mentioned
  * Problem statement will be visible after registering for the hackathon
  * Click on the submit button to view the problem statement for Round 1
  * Abstracts of word count under 200 words and above 500 will not be considered
  * Problem statements for the hackathon are not related to the problem statement for Round 1
  * Plagiarism above 8% will lead to disqualification
  * **Note: Final date for submission of the abstract for Round 1 is 11:59 PM, 23rd January 2022**
  * The final 40 teams will be declared on 25th January 2022

**Round 2 Details:**

  * The problem statement will be released on 26th January 2022
  * The preference form will be floated on 27th January 2022. The problem statement will be assigned to teams on a first come first serve basis
  * Each team will be assigned the problem statement on the morning of 29th January 2022, post the opening ceremony
  * S.P.I.T Hackathon's 24-hours will begin at 9:00 AM
  * A compulsory mentoring session for all teams will be held at 1:00 PM
  * Submissions for the hackathon will be closed at 9:00 AM on 30th January 2022
  * Submission of this round will include a presentation with a slide limit of 10 (excluding Introductory and Thank you slide)
  * Teams are also expected to submit screenshots of their application
  * Teams should present their pitch along with the app demo in 15 minutes, after which there will be a 5-minute Q&A session
  * PDF must be named as: <TeamName_AppName> and submitted to csi@spit.ac.in
  * The judging round begins at 1:00 PM on 30th January 2022
  * The judging round will take place online.
  * **Update: The hackathon will be held completely online**
  * The decision of the Judges and the organizing team will be final

**Fees:**

  * Registration for Round 1 is free
  * Round 2 will be **INR 200** per team

**Prizes:**

  * Total cash prizes worth **INR 1,00,000**
  * Certificate of excellence for top 3 teams
  * Certificate of distinction for top 10 teams

",4,D2C,,
HackBMU 5.0,250263,2022-02-17,2022-02-19,,Open,https://dare2compete.com/hackathon/hackbmu-50-bml-munjal-university-bmu-gurgaon-250263,"**About HackBMU:**

HackBMU is a hackathon focused on promoting innovation, diversity, and
networking among all future hackers. We will be hosting upcoming engineers and
developers from all over the World to create mobile, web, and hardware hacks
for an intense **48-hour** session.

**Our Commitment:**

HackBMU provides a welcoming and supportive environment for everyone to boost
up their knowledge and skills. Last year, HackBMU 4.0 garnered huge attention
with **800+** participants across **13+ countries**.

Our aim is to provide a memorable experience with learning to all of our
participants, and we have an open theme where participants can choose their
own problem statements and work upon them.

This time, by going **Hybrid** , for the **fifth edition** of HackBMU we are
aiming for greater heights and to interact with more people and make it a
memorable and enjoyable event.

**Platform:** Dare2Compete, GitHub & Discord

**Discord Link:** https://bit.ly/3mpdRBa

**Code Of Conduct:**
https://drive.google.com/file/d/1jX4OYRMupQ8Wze2hhPyrFXaTPNbb2Ikm/view?usp=sharing

",4,D2C,,
Code-A-Thon,82548,2019-04-25,2022-12-31,,Open,https://dare2compete.com/hackathon/code-a-thon-dare2compete-82548,"Are you the kind of person who will not rest until a solution is found? Do
challenges excite you? Bringing to you Hackathons that will tickle the left
and right side of your brain at the same time. An excellent way to stimulate
your creative and problem-solving abilities.

Give this Hackathon a try if you feel that you can seamlessly translate your
concept into an executable solution. Complete this coding challenge to test
your programming and problem-solving skills.

**General Information:**

  * Team Size: 1 Member
  * Registration Deadline: 30th November'20, 11:59 PM IST
  * Contest Window: 24th April'19, 6:00 PM IST to 30th November'20, 11:59 PM IST
  * Contest Duration: 01:00:00
  * Total Number of Problems: 1

GET! SET! CODE!

",1,D2C,,
Google Code Jam,10587,2022-03-01,2022-04-03,,Upcoming,https://dare2compete.com/hackathon/google-code-jam-google-10587,"**Pump up the Code Jam!**

Google's longest-running global coding competition, Code Jam, call on
programmers around the world to solve challenging, algorithmic puzzles against
the clock. Contestants advance through four online-hosted rounds to compete at
the annual Code Jam World Finals that is held at a different international
Google office each year. Each round brings new challenges, and in the end, 25
contestants will have the ultimate chance to put their skills to the test,
vying for cash prizes and the coveted championship title at the World Finals.

Register and compete in Code Jam's Online Qualification Round. It lasts 27
hours, but you won't need that long to earn the round's qualifying point
minimum. Once you do, you'll advance to Online Round 1. We offer three sub-
rounds for Round 1, and you can compete in as many as it takes for you to
finish in the top 1,500 of any of these rounds.  
  
The top 1,500 from each sub-round move on to compete for a spot in the top
1,000 contestants of Code Jam Online Round 2. These top 1,000 contestants
advance to Online Round 3 and earn a limited edition Code Jam t-shirt.  
  
The top 25 contestants from Code Jam Online Round 3 will compete in the
Virtual World Finals for the championship title and a cash prize of $15,000
USD.

**Eligibility**  
  

The exact details are explained in the Terms, but here are some of the
requirements that you have to meet at the time of registration:

  * **You are** 16 years of age or older. Only those who are 18 years of age or older around the time of the final round (see theTerms for the exact date) are eligible to attend the onsite finals.
  * **You are not** a current employee/intern of Google Inc. or an employee of any Google affiliate or subsidiary. If you have a job offer from Google, you must stop competing when you become an employee. Note that if you advance to the final round, and become a Google employee before the final round, you will not be eligible to travel to or compete in the final round.
  * **You are not**  an immediate family member (parent, child, sibling, or spouse) of, or living in the same household as, a Google employee or an employee of any Google affiliate or subsidiary.
  * **You are not** a resident of Quebec, Crimea, North Korea, or anywhere that the contest is prohibited by law.
  * You will be disqualified if you gained information on a problem as a participant in a Google-managed program or by working as an employee, intern, contractor, director, officer, or other official office-holder of Google, you will be disqualified from a contest if you submit a submission for that problem.

**Rounds  
**

Qualification Round.  
Code Jam will start with the online Qualification Round on Friday, April 1,
2022, at 23:00 UTC and run for twenty-seven (27) hours, ending on Sunday,
April 3, 2022, at 02:00 UTC. In the Qualification Round, you must log in to
the CJ Contest website to attempt to solve a number of problems within the
27-hour period. If you earn at least thirty (30) points during the
Qualification Round, regardless of your penalty time, you will advance to Code
Jam Round 1.

Round 1  
Code Jam Round 1 is conducted online and is offered in three (3) sub-rounds:
Round 1A, Round 1B, and Round 1C at the times specified at
<https://codingcompetitions.withgoogle.com/codejam/schedule> from Saturday,
April 9, 2022, UTC to Saturday, April 30, 2022, UTC. If you advance to Code
Jam Round 1, you can participate in any or all of the sub-rounds by logging
into the CJ Contest website to solve a number of problems to attempt to
qualify for Code Jam Round 2. However, once you qualify for Code Jam Round 2,
you may not participate in any subsequent sub-rounds of Code Jam Round 1. You
will advance to Code Jam Round 2 if you are ranked between 1st and 1,500th
place, inclusive, from one of the sub-rounds in Code Jam Round 1. A total of
up to 4,500 contestants will advance to Code Jam Round 2.

Round 2  
Code Jam Round 2 is conducted online and will begin on Saturday, May 14, 2022,
at 14:00 UTC and will end on Saturday, May 14, 2022, at 16:30 UTC. To
participate in Code Jam Round 2, you must log in to the CJ Contest website to
solve a number of problems. You will advance to Code Jam Round 3 if you are
ranked between 1st and 1,000th place, inclusive, of Code Jam Round 2.

Round 3  
Code Jam Round 3 is conducted online and will begin on Saturday, June 4, 2022,
at 14:00 UTC and will end on Saturday, June 4, 2022, at 16:30 UTC. To
participate in Code Jam Round 3, you must log in to the CJ Contest website to
solve a number of problems. You will advance to the Final Round of Code Jam if
you are ranked between 1st and 25th place from Code Jam Round 3.

Final Round  
The Final Round of Code Jam will be held on Saturday, August 6, 2022. Google
may change the date and location of the Final Round at its sole discretion,
including making the Final Round virtual. During the Final Round, you will be
asked to solve a number of problems. If the Final Round is in person, you will
be required to use Google-provided computer equipment and materials, but may
choose your own keyboard.

**Rewards and prizes**

Code Jam T-Shirt. You are eligible to receive one (1) t-shirt if you are one
of the 1,000 highest-ranked contestants from Code Jam Round 2.

Code Jam Cash Prizes. You are eligible to receive one of the following cash
prizes if you advance to and make at least one submission in the Final Round
of Code Jam.

Competitor Rank | Prize Money  
---|---  
1st Place | $15,000 USD  
2nd Place | $2,000 USD  
3rd Place | $1,000 USD  
4th--25th Place | $100 USD  
  
** **

",1,D2C,,
Amithon,35e479458cc849efb3bdae0fe3da0396,2022-01-24,2022-01-25,,Open,http://amithon.live/,"**Amithon 1.0** is a huge event that aims to motivate students, create
opportunities for them and provide a platform to showcase their knowledge &
skills.

",4,Devfolio,,
Electrothon 4.0,8f62e93b29f14976bd87221ade8cde05,2022-02-18,2022-02-19,,Open,https://electrothon.specnith.com,"Electrothon is a student-run hackathon under the aegis of SPEC, NIT Hamirpur.
Over its three previous iterations, it has served as a budding ground for
ingenious ideas and projects. This year too the event embarks upon the journey
of not only comprehensive learning, building and collaborating but also of
finding solutions to everyday problems by harnessing technology along the way.
Electrothon brings forth opportunities for our local community to engage in
hands-on project development experience, learn about new tech stacks, hone our
managerial skills and get in touch with mentors and other notable tech
revolutionaries. For our community, it is the gateway to the holistic
development we have always sought. Apart from that, Electrothon also witnesses
the creation of some phenomenal projects that hold the potential to turn into
startups benefitting not only the community but the entire college.

",4,Devfolio,,
WAccinge,17d659809e584656827034d9b48b7ba5,2022-01-29,2022-02-09,,Open,https://waccinge.netlify.app,"Collaboration of all technical clubs and councils of Usha Mittal Institute of
Technology (GDSC, IEEE, CSI, ACM, Codechef, ECell, and WIE UMIT). We Accinge
means bracing ourselves for giving our best. We motivate young and curious
minds to be a part of this hackathon, give their best and learn. 'A finger
cannot lift a weight but, the strength of multiple hands can'. Like us, we
encourage you to team-up and give it a shot. Team Size: 1-4 Participants
Eligibility Criteria: Students Only (Undergraduate)

",4,Devfolio,,
Hack-a-Web,a15e59187fde40d1b952580eebac04eb,2022-02-11,2022-02-13,,Open,https://esummit.ecellnitb.com/hackathon.html,"The main goal of the **HACK-A-WEB** is to encourage our coders to explore the
unconventional. By going away from the ordinary, participants will develop
breakthroughs that will change the world for the better. This event is
targeted for the tech-inclined people to utilize their coding skills and grab
exciting prizes, while solving major business problems. The participants are
given **48 hours** of rigorous coding to develop a prototype and then pitch it
to a panel of jury.

",5,Devfolio,,
Nakshatra,8296c72b3eaa4f9db1a01fd0f3823bcb,2022-02-11,2022-02-13,,Open,https://nakshatra.vercel.app/,"NAKSHATRA is an technical fest organised by MU-GDSC. The quintessence of this
fest is to spread knowledge among the tech enthusiastic folks. It’s a three-
day event from 11th Feb to 13th Feb. This platform gives everyone a chance to
enlighten their ideologies and work upon them. There will be different
workshops by talented speakers and several other sub-events. Hackathons and
competitions, designed to bring up the competitive spirit and a zest to learn
something new yet informative. Every event will be like rocket fuel to give
your technical journey a good thrust.

",4,Devfolio,,
HackNITP 4.0,41a0e9ae263f4975bba2e0866db3ba45,2022-02-11,2022-02-13,,Open,https://hack-nitp.tech/,"# HackNITP 4.0 A Hackathon is not merely a competition but is a place where
people learn the art of solving problems, make friends, build their network,
and have fun. You learn how to work collaboratively in a team to build a hack.
Let the innovation inside you flourish in HackNITP 4.0 and turn the craziest
of your ideas into a reality. ### To know more, visit: https://hack-nitp.tech/

",4,Devfolio,,
